Fecha/Hora,Equipo 1,Equipo 2,Pronóstico,Probabilidad Equipo 1,Probabilidad Equipo 2,Probabilidad Empate
2026-06-21 00:00,Túnez,Japón,Gana Japón,0.68%,79.52%,19.80%
2026-06-21 12:00,España,Arabia Saudí,Gana España,83.99%,0.01%,16.00%
2026-06-21 15:00,Bélgica,Irán,Gana Bélgica,71.86%,4.80%,23.34%
2026-06-21 18:00,Uruguay,Cabo Verde,Gana Uruguay,82.34%,0.18%,17.48%
2026-06-21 21:00,Nueva Zelanda,Egipto,Gana Egipto,0.85%,78.97%,20.18%
2026-06-22 13:00,Argentina,Austria,Gana Argentina,77.34%,1.48%,21.18%
2026-06-22 17:00,Francia,Irak,Gana Francia,83.96%,0.04%,16.00%
2026-06-22 20:00,Noruega,Senegal,Gana Senegal,23.59%,49.70%,26.71%
2026-06-22 23:00,Jordania,Argelia,Gana Argelia,11.12%,63.89%,24.99%
2026-06-23 13:00,Portugal,Uzbekistán,Gana Portugal,81.47%,0.28%,18.25%
2026-06-23 16:00,Inglaterra,Ghana,Gana Inglaterra,83.96%,0.04%,16.00%
2026-06-23 19:00,Panamá,Croacia,Gana Croacia,1.88%,76.52%,21.60%
2026-06-23 22:00,Colombia,RD Congo,Gana Colombia,79.64%,0.65%,19.71%
2026-06-24 18:00,Escocia,Brasil,Gana Brasil,0.83%,79.02%,20.15%
2026-06-24 18:00,Marruecos,Haití,Gana Marruecos,83.92%,0.08%,16.00%
2026-06-24 21:00,Sudáfrica,Corea del Sur,Gana Corea del Sur,4.86%,71.79%,23.35%
2026-06-24 21:00,República Checa,México,Gana México,5.06%,71.51%,23.43%
2026-06-25 13:00,Bosnia y Herzegovina,Catar,Gana Catar,22.42%,51.00%,26.58%
2026-06-25 13:00,Suiza,Canadá,Gana Suiza,58.93%,15.39%,25.68%
2026-06-25 16:00,Ecuador,Alemania,Gana Alemania,15.25%,59.08%,25.67%
2026-06-25 16:00,Curazao,Costa de Marfil,Gana Costa de Marfil,0.59%,79.88%,19.53%
2026-06-25 19:00,Japón,Suecia,Gana Japón,72.99%,4.01%,23.00%
2026-06-25 19:00,Túnez,Países Bajos,Gana Países Bajos,0.17%,82.52%,17.31%
2026-06-25 22:00,Turquía,Estados Unidos,Gana Turquía,64.67%,10.47%,24.86%
2026-06-25 22:00,Paraguay,Australia,Gana Australia,32.13%,40.26%,27.61%
2026-06-26 15:00,Senegal,Irak,Gana Senegal,79.28%,0.75%,19.97%
2026-06-26 15:00,Noruega,Francia,Gana Francia,1.82%,76.62%,21.56%
2026-06-26 20:00,Uruguay,España,Gana España,2.19%,75.93%,21.88%
2026-06-26 20:00,Cabo Verde,Arabia Saudí,Gana Arabia Saudí,20.99%,52.59%,26.42%
2026-06-26 23:00,Nueva Zelanda,Bélgica,Gana Bélgica,0.07%,83.93%,16.00%
2026-06-26 23:00,Egipto,Irán,Gana Egipto,38.39%,33.83%,27.78%
2026-06-27 17:00,Croacia,Ghana,Gana Croacia,81.79%,0.24%,17.97%
2026-06-27 17:00,Panamá,Inglaterra,Gana Inglaterra,0.32%,81.25%,18.43%
2026-06-27 19:30,Colombia,Portugal,Gana Portugal,19.52%,54.24%,26.24%
2026-06-27 19:30,RD Congo,Uzbekistán,Gana Uzbekistán,33.06%,39.23%,27.71%
2026-06-27 22:00,Jordania,Argentina,Gana Argentina,0.04%,83.96%,16.00%
2026-06-27 22:00,Argelia,Austria,Gana Austria,9.43%,65.93%,24.64%
